iter	RMSE
0	119215.2018
1	115977.7917
2	112829.826
3	109760.3947
4	106842.9443
5	104020.4039
6	101203.9136
7	98590.22495
8	96071.23032
9	93644.14348
10	91325.58357
11	89132.40231
12	87006.4702
13	84844.98627
14	82803.97605
15	80840.48773
16	78967.41024
17	77187.10176
18	75427.17219
19	73942.62007
20	72481.59875
21	71044.07809
22	69583.3937
23	68246.20515
24	66869.52746
25	65535.43826
26	64270.35449
27	63062.4664
28	61860.41032
29	60879.54209
30	59854.15712
31	58793.11477
32	57891.51957
33	56817.9898
34	55939.84813
35	55056.84084
36	54070.25462
37	53384.92507
38	52665.36681
39	51731.80827
40	50950.8125
41	50320.0241
42	49678.43708
43	48985.05088
44	48334.84979
45	47621.58428
46	47068.14043
47	46542.21541
48	45885.55853
49	45352.56379
50	44931.36501
51	44399.75138
52	43914.30396
53	43465.73725
54	43037.80054
55	42597.07622
56	42179.1747
57	41730.2555
58	41286.24973
59	40773.99965
60	40450.23479
61	40073.91577
62	39645.11622
63	39136.87513
64	38860.86805
65	38467.70315
66	38086.54526
67	37768.57441
68	37426.05316
69	37103.89345
70	36819.09798
71	36605.55896
72	36268.869
73	36068.65948
74	35794.7325
75	35532.10422
76	35275.44616
77	35070.22308
78	34800.29494
79	34622.24856
80	34365.5926
81	34189.59199
82	33975.33687
83	33779.83828
84	33519.50107
85	33312.83768
86	33143.71297
87	32963.06977
88	32742.41908
89	32545.25888
90	32316.52969
91	32182.16534
92	31992.05952
93	31846.96345
94	31682.2883
95	31582.22764
96	31448.20182
97	31327.29796
98	31192.62353
99	31068.13026
100	30932.83464
101	30824.35033
102	30598.85755
103	30460.68161
104	30322.42266
105	30206.92402
106	30035.47024
107	29930.13619
108	29835.84935
109	29739.56341
110	29631.98518
111	29522.91132
112	29369.76971
113	29275.30397
114	29196.0905
115	29109.50283
116	29034.18159
117	28938.57389
118	28801.34333
119	28678.54157
120	28538.52459
121	28462.64912
122	28322.43022
123	28224.80143
124	28079.84372
125	27934.25421
126	27820.99468
127	27742.20016
128	27659.40989
129	27514.78016
130	27403.12295
131	27284.71428
132	27191.3415
133	27144.63291
134	27029.69484
135	26944.1993
136	26839.99666
137	26755.81937
138	26691.91796
139	26628.92611
140	26553.55669
141	26433.01342
142	26354.81129
143	26290.49397
144	26224.69513
145	26105.5457
146	26007.59715
147	25949.97278
148	25909.32339
149	25860.0225
150	25805.53484
151	25750.38275
152	25654.23964
153	25609.37571
154	25501.71075
155	25445.30777
156	25332.14803
157	25253.87563
158	25176.66468
159	25061.23093
160	24939.42608
161	24851.43516
162	24772.40058
163	24679.62554
164	24592.74159
165	24495.57778
166	24446.15722
167	24388.76522
168	24328.22998
169	24249.41333
170	24199.46232
171	24135.62544
172	24078.58011
173	23995.73142
174	23949.61954
175	23863.83529
176	23806.76639
177	23771.29951
178	23691.01232
179	23642.48311
180	23578.04127
181	23507.60219
182	23425.79216
183	23357.04634
184	23284.64898
185	23220.14717
186	23163.22689
187	23103.01041
188	23053.20208
189	23008.16505
190	22932.01728
191	22888.82104
192	22832.23022
193	22775.26574
194	22724.79212
195	22669.53635
196	22620.1097
197	22570.5506
198	22514.4973
199	22458.73458
200	22419.08954
201	22363.6351
202	22303.3205
203	22241.4724
204	22189.89612
205	22120.92115
206	22057.01848
207	21995.51901
208	21941.63187
209	21899.25751
210	21824.24698
211	21781.09796
212	21743.37096
213	21683.91319
214	21621.60083
215	21567.62925
216	21527.97883
217	21468.61082
218	21433.03626
219	21401.67836
220	21367.95081
221	21333.35649
222	21285.47441
223	21257.19612
224	21205.78192
225	21159.60924
226	21120.19388
227	21073.29942
228	21022.1435
229	20969.78644
230	20922.21488
231	20891.17368
232	20831.86118
233	20787.16356
234	20747.89571
235	20701.1564
236	20642.67063
237	20583.91613
238	20536.05025
239	20483.67255
240	20454.41291
241	20428.39467
242	20400.01389
243	20353.61027
244	20318.16635
245	20266.86897
246	20239.76859
247	20206.42953
248	20178.60794
249	20135.08538
250	20098.69897
251	20056.46602
252	20008.6073
253	19975.45978
254	19943.14081
255	19894.12493
256	19870.65668
257	19841.4441
258	19783.58114
259	19729.29957
260	19699.18896
261	19661.13739
262	19614.14597
263	19565.47003
264	19510.85858
265	19468.84885
266	19422.38366
267	19380.34249
268	19351.08534
269	19328.08108
270	19305.70953
271	19262.8912
272	19230.61236
273	19209.40546
274	19182.95291
275	19149.18307
276	19106.90872
277	19066.41325
278	19040.87466
279	19008.90698
280	18967.29128
281	18920.12563
282	18877.41108
283	18853.78507
284	18834.38375
285	18800.09054
286	18766.9189
287	18740.47906
288	18715.96815
289	18697.34217
290	18658.40866
291	18610.64752
292	18570.14503
293	18524.93793
294	18493.69341
295	18460.94291
296	18442.95298
297	18388.18504
298	18370.5352
299	18336.44458
300	18299.51061
301	18247.49076
302	18230.1336
303	18213.11523
304	18168.29902
305	18119.75281
306	18094.15942
307	18060.26899
308	18031.12087
309	18014.6341
310	17981.18714
311	17953.20742
312	17937.27342
313	17915.04182
314	17899.68887
315	17878.43248
316	17849.44357
317	17816.26121
318	17796.32607
319	17766.01888
320	17725.67261
321	17693.23766
322	17644.6637
323	17611.81832
324	17594.69024
325	17575.24977
326	17560.94181
327	17546.76075
328	17517.6184
329	17483.92995
330	17441.16885
331	17427.31181
332	17384.0191
333	17343.82998
334	17328.28081
335	17297.23486
336	17258.80667
337	17215.56593
338	17201.92017
339	17163.48734
340	17150.28583
341	17107.26792
342	17076.11624
343	17044.70528
344	17022.51648
345	16993.92752
346	16963.59311
347	16941.00525
348	16911.35342
349	16889.46437
350	16872.94847
351	16856.53565
352	16821.64363
353	16796.30528
354	16778.13897
355	16762.24001
356	16750.15982
357	16718.49387
358	16706.84186
359	16675.41044
360	16657.41843
361	16645.77145
362	16609.88011
363	16585.9995
364	16569.01877
365	16552.4229
366	16537.33015
367	16499.51686
368	16461.72126
369	16419.76989
370	16387.91323
371	16368.23198
372	16343.23453
373	16324.96546
374	16306.38933
375	16275.92993
376	16260.5033
377	16237.45869
378	16201.17461
379	16179.59921
380	16164.88126
381	16131.88533
382	16114.20513
383	16090.51075
384	16076.29392
385	16041.40546
386	16022.4657
387	15989.80453
388	15955.92159
389	15945.63998
390	15928.88698
391	15894.12023
392	15877.03026
393	15860.38562
394	15827.88412
395	15812.62078
396	15795.49432
397	15763.7427
398	15735.13543
399	15713.66487
400	15698.98723
401	15673.70607
402	15658.18835
403	15644.01538
404	15631.42391
405	15603.72552
406	15588.86227
407	15572.52885
408	15560.33722
409	15543.81914
410	15531.53594
411	15506.27651
412	15492.19921
413	15457.54295
414	15436.60851
415	15400.68853
416	15383.01036
417	15353.18382
418	15339.37309
419	15309.23014
420	15295.7948
421	15271.71624
422	15238.22799
423	15217.66636
424	15189.31341
425	15163.13698
426	15152.2369
427	15141.55257
428	15131.202
429	15101.52111
430	15075.33635
431	15044.71392
432	15024.03659
433	15006.97366
434	14990.91443
435	14975.86785
436	14950.47245
437	14928.72296
438	14913.2049
439	14886.11726
440	14863.58986
