iter	Passed	Remaining
0	2	2036
1	4	2248
2	6	2271
3	9	2293
4	11	2238
5	14	2359
6	21	3012
7	24	3098
8	34	3774
9	37	3678
10	40	3629
11	43	3557
12	46	3501
13	48	3437
14	51	3356
15	53	3277
16	56	3239
17	58	3166
18	61	3161
19	63	3113
20	65	3042
21	67	2994
22	69	2950
23	71	2892
24	73	2867
25	75	2818
26	77	2792
27	79	2763
28	81	2739
29	83	2710
30	86	2702
31	88	2669
32	90	2666
33	92	2630
34	94	2608
35	96	2589
36	98	2571
37	100	2556
38	103	2540
39	106	2546
40	108	2537
41	111	2535
42	113	2521
43	115	2505
44	117	2492
45	120	2506
46	123	2497
47	125	2479
48	128	2496
49	130	2482
50	133	2479
51	135	2467
52	137	2455
53	141	2486
54	145	2499
55	149	2516
56	152	2523
57	154	2510
58	156	2500
59	158	2487
60	161	2491
61	163	2479
62	165	2468
63	169	2476
64	172	2478
65	174	2468
66	176	2458
67	178	2447
68	180	2439
69	182	2430
70	184	2420
71	187	2410
72	189	2400
73	191	2401
74	193	2390
75	195	2381
76	198	2375
77	203	2402
78	212	2478
79	215	2479
80	221	2511
81	223	2501
82	225	2493
83	237	2588
84	245	2646
85	247	2634
86	254	2674
87	257	2664
88	259	2653
89	261	2643
90	272	2721
91	274	2710
92	276	2697
93	278	2686
94	281	2681
95	283	2671
96	286	2663
97	288	2652
98	290	2641
99	292	2635
100	295	2630
101	297	2620
102	302	2632
103	304	2622
104	306	2612
105	309	2606
106	311	2595
107	313	2585
108	315	2582
109	322	2610
110	331	2655
111	334	2650
112	339	2661
113	342	2665
114	344	2654
115	347	2645
116	348	2632
117	364	2724
118	369	2736
119	374	2744
120	388	2824
121	399	2878
122	407	2908
123	418	2956
124	435	3046
125	443	3076
126	451	3105
127	460	3136
128	466	3151
129	471	3158
130	473	3143
131	480	3156
132	486	3168
133	499	3225
134	505	3240
135	512	3254
136	516	3252
137	529	3306
138	534	3313
139	540	3317
140	545	3322
141	548	3316
142	564	3381
143	567	3375
144	570	3365
145	577	3375
146	582	3379
147	588	3388
148	599	3425
149	605	3431
150	609	3425
151	614	3427
152	615	3409
153	617	3393
154	619	3376
155	620	3359
156	623	3350
157	625	3332
158	627	3318
159	629	3303
160	632	3294
161	634	3282
162	636	3270
163	638	3256
164	640	3240
165	641	3225
166	652	3252
167	661	3275
168	663	3262
169	665	3249
170	667	3236
171	668	3220
172	671	3207
173	673	3195
174	674	3181
175	677	3171
176	680	3163
177	682	3150
178	684	3139
179	686	3129
180	689	3117
181	690	3104
182	692	3090
183	694	3077
184	696	3069
185	698	3057
186	699	3042
187	701	3030
188	703	3017
189	704	3004
190	706	2992
191	708	2979
192	709	2968
193	711	2955
194	713	2943
195	714	2931
196	717	2923
197	718	2912
198	720	2900
199	722	2889
200	724	2879
201	725	2867
202	727	2856
203	729	2844
204	730	2833
205	732	2823
