Entity,Code,Day,total_vaccinations_per_hundred
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,0.02
Afghanistan,AFG,2021-03-16,0.13
Afghanistan,AFG,2021-04-07,0.3
Afghanistan,AFG,2021-04-22,0.6
Afghanistan,AFG,2021-05-11,1.26
Afghanistan,AFG,2021-05-20,1.37
Afghanistan,AFG,2021-05-24,1.43
Afghanistan,AFG,2021-05-26,1.47
Afghanistan,AFG,2021-05-27,1.48
Afghanistan,AFG,2021-05-30,1.5
Afghanistan,AFG,2021-06-02,1.56
Afghanistan,AFG,2021-06-03,1.57
Afghanistan,AFG,2021-06-08,1.6
Afghanistan,AFG,2021-06-14,1.65
Afghanistan,AFG,2021-06-22,1.91
Afghanistan,AFG,2021-06-27,2.08
Afghanistan,AFG,2021-06-30,2.21
Afghanistan,AFG,2021-07-05,2.28
Afghanistan,AFG,2021-07-07,2.33
Afghanistan,AFG,2021-07-11,2.4
Afghanistan,AFG,2021-07-14,2.55
Afghanistan,AFG,2021-07-18,2.73
Afghanistan,AFG,2021-07-24,2.92
Afghanistan,AFG,2021-08-20,3
Afghanistan,AFG,2021-08-31,4.94
Afghanistan,AFG,2021-09-30,5.91
Afghanistan,AFG,2021-11-14,10.02
Afghanistan,AFG,2021-12-27,11.66
Afghanistan,AFG,2022-01-09,12.23
Afghanistan,AFG,2022-01-11,12.28
Afghanistan,AFG,2022-01-13,12.36
Afghanistan,AFG,2022-01-17,12.43
Afghanistan,AFG,2022-01-19,12.48
Afghanistan,AFG,2022-01-24,12.58
Afghanistan,AFG,2022-01-26,12.65
Afghanistan,AFG,2022-01-27,12.67
Afghanistan,AFG,2022-01-31,12.78
Afghanistan,AFG,2022-02-02,12.85
Afghanistan,AFG,2022-02-07,13.01
Afghanistan,AFG,2022-02-14,13.27
Afghanistan,AFG,2022-02-20,13.5
Afghanistan,AFG,2022-02-27,13.8
Afghanistan,AFG,2022-03-06,13.96
Afghanistan,AFG,2022-03-17,14.29
Afghanistan,AFG,2022-03-22,14.34
Afghanistan,AFG,2022-04-04,14.65
Afghanistan,AFG,2022-04-14,14.81
Afghanistan,AFG,2022-04-18,14.84
Afghanistan,AFG,2022-04-26,14.93
Afghanistan,AFG,2022-04-27,14.93
Afghanistan,AFG,2022-05-05,15.02
Afghanistan,AFG,2022-05-08,15.02
Afghanistan,AFG,2022-05-10,15.04
Afghanistan,AFG,2022-05-15,15.13
Afghanistan,AFG,2022-05-23,15.26
Afghanistan,AFG,2022-06-01,15.39
Afghanistan,AFG,2022-06-15,15.7
Afghanistan,AFG,2022-06-21,15.85
Afghanistan,AFG,2022-06-27,15.98
Afghanistan,AFG,2022-06-30,16.07
Afghanistan,AFG,2022-07-10,16.19
Afghanistan,AFG,2022-07-17,16.73
Afghanistan,AFG,2022-07-19,19.66
Afghanistan,AFG,2022-07-27,20.05
Afghanistan,AFG,2022-08-07,24.5
Afghanistan,AFG,2022-08-15,27.97
Afghanistan,AFG,2022-08-22,28.41
Africa,,2021-01-09,0
Africa,,2021-01-10,0
Africa,,2021-01-11,0
Africa,,2021-01-12,0
Africa,,2021-01-13,0
Africa,,2021-01-14,0
Africa,,2021-01-15,0
Africa,,2021-01-16,0
Africa,,2021-01-17,0
Africa,,2021-01-18,0
Africa,,2021-01-19,0
Africa,,2021-01-20,0
Africa,,2021-01-21,0
Africa,,2021-01-22,0
Africa,,2021-01-23,0
Africa,,2021-01-24,0
Africa,,2021-01-25,0
Africa,,2021-01-26,0
Africa,,2021-01-27,0
Africa,,2021-01-28,0
Africa,,2021-01-29,0
Africa,,2021-01-30,0.01
Africa,,2021-01-31,0.01
Africa,,2021-02-01,0.02
Africa,,2021-02-02,0.02
Africa,,2021-02-03,0.02
Africa,,2021-02-04,0.03
Africa,,2021-02-05,0.03
Africa,,2021-02-06,0.04
Africa,,2021-02-07,0.04
Africa,,2021-02-08,0.04
Africa,,2021-02-09,0.05
Africa,,2021-02-10,0.06
Africa,,2021-02-11,0.07
Africa,,2021-02-12,0.08
Africa,,2021-02-13,0.1
Africa,,2021-02-14,0.1
Africa,,2021-02-15,0.13
Africa,,2021-02-16,0.14
Africa,,2021-02-17,0.15
Africa,,2021-02-18,0.17
Africa,,2021-02-19,0.18
Africa,,2021-02-20,0.19
Africa,,2021-02-21,0.19
Africa,,2021-02-22,0.2
Africa,,2021-02-23,0.2
Africa,,2021-02-24,0.23
Africa,,2021-02-25,0.25
Africa,,2021-02-26,0.26
Africa,,2021-02-27,0.28
Africa,,2021-02-28,0.28
Africa,,2021-03-01,0.29
Africa,,2021-03-02,0.31
Africa,,2021-03-03,0.32
Africa,,2021-03-04,0.33
Africa,,2021-03-05,0.35
Africa,,2021-03-06,0.36
Africa,,2021-03-07,0.36
Africa,,2021-03-08,0.39
Africa,,2021-03-09,0.4
Africa,,2021-03-10,0.42
Africa,,2021-03-11,0.44
Africa,,2021-03-12,0.46
Africa,,2021-03-13,0.49
Africa,,2021-03-14,0.49
Africa,,2021-03-15,0.52
Africa,,2021-03-16,0.53
Africa,,2021-03-17,0.55
Africa,,2021-03-18,0.56
Africa,,2021-03-19,0.58
Africa,,2021-03-20,0.59
Africa,,2021-03-21,0.59
Africa,,2021-03-22,0.6
Africa,,2021-03-23,0.61
Africa,,2021-03-24,0.68
Africa,,2021-03-25,0.7
Africa,,2021-03-26,0.72
Africa,,2021-03-27,0.74
Africa,,2021-03-28,0.76
Africa,,2021-03-29,0.77
Africa,,2021-03-30,0.79
Africa,,2021-03-31,0.82
Africa,,2021-04-01,0.84
Africa,,2021-04-02,0.85
Africa,,2021-04-03,0.86
Africa,,2021-04-04,0.87
Africa,,2021-04-05,0.88
Africa,,2021-04-06,0.9
Africa,,2021-04-07,0.93
Africa,,2021-04-08,0.98
Africa,,2021-04-09,0.99
Africa,,2021-04-10,1.01
Africa,,2021-04-11,1.02
